"","item","label","duration","intensity","cog","sdev","skew","kurt"
"24","SN10","B6_SN10_1_s_alt_2.wav",0.1357708333,47.62933625,6501.476501,1716.028196,0.4987250157,0.6567243337
"25","SN10","B6_SN10_3_s.wav",0.1483541667,52.90435834,6436.551247,1503.411787,0.627718194,-0.09631704813
"26","SN10","B2_SN10_2_s.wav",0.1056041667,52.53359183,6417.718719,1443.213045,0.5414357661,1.674099267
"27","SN10","B2_SN10_3_s.wav",0.1007291667,51.95281211,6110.257549,1488.603695,1.448339882,2.632436979
"28","SN10","B4_SN10_1_s.wav",0.1247291667,53.2980784,5380.32673,1661.003278,1.570045806,2.779045544
"29","SN10","B4_SN10_3_s.wav",0.1190416667,55.56814325,4892.122567,1378.19672,1.468720931,3.428740975
"30","SN10","B4_SN10_2_s.wav",0.1159375,54.60473478,4535.573719,1153.533473,1.804261273,6.835907654
"31","SN13","B3_SN13_2_s.wav",0.181375,49.27491476,7470.311468,2215.578858,-0.01219098577,1.586221247
"32","SN13","B3_SN13_1_s.wav",0.1721041667,47.87852782,7362.2133,1797.582859,1.01605722,3.0584658
"33","SN13","B2_SN13_2_s.wav",0.1137916667,49.26797005,7276.94669,1713.037081,0.6520405825,3.036248279
"34","SN13","B3_SN13_3_s.wav",0.1561666667,50.72949783,6941.552205,2053.944945,0.5830220476,1.301328535
"35","SN13","B2_SN13_3_s.wav",0.1115416667,52.28735445,6630.410106,1901.077932,0.3597745788,1.561717347
"36","SN13","B2_SN13_1_s.wav",0.1041875,51.1068285,6475.086677,2008.24624,0.858864894,1.353829611
"37","SN13","B6_SN13_1_s.wav",0.1575416667,48.53272176,6407.159827,1485.651994,0.7731950095,0.9725290258
"38","SN13","B6_SN13_2_s.wav",0.1549166667,46.53887436,6332.026275,1516.517889,0.8584784415,1.600923349
"39","SN13","B6_SN13_2_s_alt.wav",0.1236458333,50.38145877,6293.177249,2122.718489,1.232486527,0.6149829808
"40","SN13","B6_SN13_3_s.wav",0.109875,49.27974468,6013.389892,1734.013781,1.017524263,0.4941986675
"41","SN13","B6_SN13_1_s_alt.wav",0.1232916667,48.6000337,5715.841626,1820.33191,0.9332118052,-0.2042815997
"42","SN13","B4_SN13_2_s.wav",0.1355208333,51.5402237,5490.374204,1921.953105,0.8387101836,1.262833174
"43","SN13","B4_SN13_3_s_alt.wav",0.1785625,52.0735787,5398.727712,1591.143233,1.070341381,2.715414767
"44","SN13","B4_SN13_1_s.wav",0.1462708333,52.10854817,5170.968576,1581.9891,1.292564844,3.232486379
"45","SN13","B4_SN13_3_s.wav",0.1407916667,54.29679111,4579.830561,1386.73481,1.665258403,4.924448884
"46","SN14","B3_SN14_3_s.wav",0.1818125,51.79341257,8275.126714,2133.850019,0.4837422625,1.432271512
"47","SN14","B3_SN14_2_s.wav",0.1752916667,50.51965627,8003.613815,2241.017917,0.1594039042,0.5003044567
"48","SN14","B3_SN14_1_s.wav",0.1504791667,50.49966129,6932.748784,1707.275732,0.9684303204,2.637572736
"49","SN14","B6_SN14_2_s.wav",0.1086666667,49.85177554,6886.42952,2262.031767,0.2394444684,-1.487749268
"50","SN14","B6_SN14_1_s.wav",0.1253125,46.4123702,6608.798609,2077.827829,0.8828718909,-0.1072337298
"51","SN14","B6_SN14_3_s.wav",0.1338333333,50.36970192,6244.674648,1310.12721,1.107545494,3.795144058
"52","SN14","B6_SN14_1_s_alt.wav",0.1230416667,50.1269485,6236.684069,1932.946623,0.8784291657,-0.1932855235
"53","SN14","B2_SN14_2_s.wav",0.1068125,51.00191886,6204.923892,1129.483648,0.6125888569,4.81907675
"54","SN14","B6_SN14_2_s_alt.wav",0.1351666667,49.9177323,6192.797299,1673.599808,1.567279126,1.981691325
"55","SN14","B2_SN14_3_s.wav",0.1179375,50.51023484,5903.364838,1137.403726,1.469570581,7.128204234
"56","SN14","B2_SN14_1_s.wav",0.1111458333,51.60651382,5852.688601,1414.461484,1.15840276,3.152347334
"57","SN14","B4_SN14_2_s.wav",0.1259166667,52.96229576,4898.215609,1488.71016,1.551510708,3.159262402
"58","SN14","B4_SN14_1_s.wav",0.1296041667,53.3339723,4873.99464,1512.235021,1.057549265,2.262247782
"59","SN14","B4_SN14_3_s.wav",0.1485416667,51.87768839,4616.829495,1540.008759,1.280491169,3.061104968
"60","SN15","B3_SN15_3_s.wav",0.2195625,50.37135216,8262.415059,2751.557819,-0.5523561811,-0.1231486104
"61","SN15","B3_SN15_1_s.wav",0.1874166667,47.28180793,7556.68728,2475.695437,0.05381509285,-0.7072319668
"62","SN15","B2_SN15_1_weird_s.wav",0.1199375,51.5364768,6246.547542,1522.383424,1.074869772,1.370739579
"63","SN15","B6_SN15_2_s.wav",0.1595833333,49.95889265,5808.062499,2088.505838,1.03417299,-0.03220532594
"64","SN15","B2_SN15_2_s.wav",0.1175416667,48.85637335,5757.276672,1600.850054,1.350198394,2.961194523
"65","SN15","B2_SN15_3_s.wav",0.1264375,49.88377916,5613.493091,1658.521833,1.378940403,1.941593597
"66","SN15","B6_SN15_1_s.wav",0.1375833333,50.38114375,5473.952291,1771.466012,1.597297256,2.094475707
"67","SN15","B3_SN15_2_s.wav",0.1779166667,43.45681626,5467.720356,2669.459986,0.3631373762,0.190132071
"68","SN15","B6_SN15_3_s.wav",0.1785625,49.18628511,5467.553374,1876.049855,1.092133154,0.4752077264
"69","SN15","B4_SN15_3_s.wav",0.1749583333,52.94643816,4740.264432,1606.60015,1.801050143,4.616367911
"70","SN15","B4_SN15_1_s.wav",0.1611875,52.30517605,4554.579846,1632.385381,1.7608213,3.972956606
"71","SN15","B4_SN15_2_s.wav",0.1604583333,48.90163548,4544.63818,1874.019791,1.243238404,2.093667001
"72","SN16","B3_SN16_1_s.wav",0.1502291667,44.53364306,8382.963291,2762.366319,-0.4540269366,-0.05563552066
"73","SN16","B3_SN16_3_s.wav",0.1662291667,50.96027748,8126.825664,2304.583673,-0.01237353591,-0.8825348049
